ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006955,immune response,210/911,375/2843,0.56,1.74761800219539,10.6681833420107,5.32319641914717e-25,1.42981055818293e-21,1.16606018402582e-21,CCR2/LYZ/STAT2/PIK3CG/TRIM22/INPP5D/BCL6/MPEG1/STAT4/LAX1/JCHAIN/LCP2/FCRL5/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/CYSLTR2/CD28/SYK/VSIR/IL18BP/TNFRSF1B/APOL1/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/TNFSF8/FYB1/GPR183/RGS1/APOBEC3G/NFAM1/CD4/NAIP/SLAMF6/LY9/BLNK/FCGR2B/IL21/MAP3K14/NCKAP1L/DOCK2/PTPRC/PTAFR/HRH2/TRIM56/SMPDL3A/CH25H/HLA-DQB1/LAIR1/DLL1/CXCL12/SAMHD1/PDCD1/TRAT1/TBX21/CD3G/SHFL/TIFAB/TRIM38/PRKCH/KMT2A/PRKCB/C3/SAMSN1/IGSF6/AIM2/UBA7/IL7R/SEMA6D/SH2D1A/WAS/LGALS9/APOBEC3H/TLR5/HLA-DQB2/CD1D/KLRK1/BTN2A2/SUCNR1/SSC5D/TASL/AIF1/HCK/CD53/TYK2/BST1/IDO1/ADAMDEC1/CASP1/BANK1/SCN11A/SIRPA/TLR9/TNFSF14/GFI1/SLA2/CCL3/SLC15A3/THEMIS/PLCG2/TWIST1/NR1H3/CD244/C5AR1/RNASE6/CCR7/TESPA1/MR1/CD48/PML/RAB2B/CD2/GBP5/STAP1/CD8B/HAVCR2/GPR65/CD300LF/PRG4/LAMP3/CCL3L3/A2M/CD37/KLRD1/PIGR/CD8A/CRISP3/NFKBID/FCER1A/C1QB/C4BPA/IL12B/BATF/MS4A1/CLEC7A/CD160/CD14/PRKD2/FCER1G/CD1C/GCH1/TIGIT/IL4I1/APOBEC3F/IL23R/CTLA4/NLRP4/TYROBP/SKAP1/LILRA5/XCL2/MASP1/BTLA/RFPL1/CLC/TLR3/LY86/CLNK/IRF1/MARCO/LGALS4/GNLY/KIR2DS4/LTB4R/XCL1/CXCR3/CFI/CCL21/ATG14/CXCL9/ZNF683/PARP14/FCGR3A/IFI44L/CCL19/HFE/CCL7/TRIML2/SYVN1/ZSWIM8/RFPL4B/BTNL8/TF/CNR2/MRGPRX2/TRIM4/GRN/TNFSF13B/SH2D1B/HLA-C/IL6/CD300LB/RNASE2/IL1R2/CTSG/ZNFX1/KIR2DL1/FCN3/SPPL2B/PSMB10/GAPT/CFB,210
GO:0045321,leukocyte activation,147/911,235/2843,0.625531914893617,1.952126491814,10.4626681529862,9.02472890333262e-24,9.76348225867529e-21,7.96245898040651e-21,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/LCP2/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21/SELPLG/CD3G/RIPOR2/KMT2A/PRKCB/C3/SAMSN1/WDFY4/RHOH/IL7R/SEMA6D/AKAP17A/SH2D1A/WAS/LGALS9/HLA-DQB2/CD1D/KLRK1/EGR1/BTN2A2/SUCNR1/AIF1/TYK2/GPNMB/BST1/IDO1/BANK1/SCN11A/SIRPA/TLR9/TNFSF14/SLA2/CCL3/THEMIS/PLCG2/CYP26B1/NR1H3/CD244/C5AR1/CCR7/TESPA1/MR1/SOCS1/CD48/DCSTAMP/ZNF335/CD2/CEBPA/STAP1/CD8B/CD5/HAVCR2/GPR65/CD300LF/CD37/KLRD1/CD8A/CCDC88B/NFKBID/FCER1A/IL12B/BATF/MS4A1/CLEC7A/CD160/FCER1G/CD1C/TIGIT/IL4I1/IL23R/CTLA4/TYROBP/TREML2/BTLA/CLC/TLR3/CLNK/IRF1/XCL1/CCL21/ZNF683/BATF3/FCGR3A/CCL19/HFE/SYVN1/GNRH1/CNR2/EGR3/MRGPRX2/FLT3/GRN/FGF10/TNFSF13B/SH2D1B/IL6/CTSG/GPR18/PSMB10/MPL/GAPT/CFB,147
GO:0001775,cell activation,159/911,262/2843,0.606870229007634,1.89388810216103,10.425753784964,1.09048573254006e-23,9.76348225867529e-21,7.96245898040651e-21,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/LCP2/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/EMILIN2/IRF4/SLAMF1/CD38/P2RX1/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21/SELPLG/CD3G/RIPOR2/KMT2A/PRKCB/C3/CAPN3/SAMSN1/WDFY4/RHOH/IL7R/SEMA6D/AKAP17A/VWF/SH2D1A/WAS/LGALS9/HLA-DQB2/CD1D/KLRK1/EGR1/BTN2A2/SUCNR1/AIF1/SELP/TYK2/GPNMB/BST1/IDO1/BANK1/SCN11A/SIRPA/TLR9/TNFSF14/SLA2/MMRN1/CCL3/THEMIS/PLCG2/CYP26B1/NR1H3/CD244/C5AR1/GP1BA/CCR7/TESPA1/MR1/SOCS1/CD48/DCSTAMP/ZNF335/CD2/CEBPA/STAP1/CD8B/CD5/P2RY12/HAVCR2/GPR65/CD300LF/CD37/KLRD1/CD8A/CCDC88B/NFKBID/FCER1A/IL12B/BATF/MS4A1/CLEC7A/CD160/FCER1G/CD1C/TIGIT/IL4I1/KRT2/IL23R/CTLA4/TYROBP/TREML2/LILRA5/BTLA/CLC/TLR3/CLNK/IRF1/XCL1/CCL21/ZNF683/BATF3/FCGR3A/CCL19/HFE/SYVN1/GNRH1/CNR2/EGR3/MRGPRX2/FLT3/ACTA2/GRN/FGF10/TNFSF13B/SH2D1B/IL6/GJD4/CTSG/GPR18/PSMB10/MPL/GAPT/CFB,159
GO:0046649,lymphocyte activation,128/911,204/2843,0.627450980392157,1.95811540862229,9.75171224308028,7.78284307253812e-21,5.22617912320935e-18,4.26213064051364e-18,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21/CD3G/RIPOR2/KMT2A/PRKCB/C3/SAMSN1/WDFY4/RHOH/IL7R/SEMA6D/AKAP17A/SH2D1A/WAS/LGALS9/HLA-DQB2/CD1D/KLRK1/EGR1/BTN2A2/AIF1/TYK2/GPNMB/BST1/IDO1/BANK1/SIRPA/TLR9/TNFSF14/SLA2/THEMIS/PLCG2/CYP26B1/CD244/CCR7/TESPA1/MR1/SOCS1/CD48/ZNF335/CD2/CD8B/CD5/HAVCR2/GPR65/CD37/KLRD1/CD8A/CCDC88B/NFKBID/IL12B/BATF/MS4A1/CLEC7A/CD160/FCER1G/CD1C/TIGIT/IL4I1/IL23R/CTLA4/TYROBP/TREML2/BTLA/CLC/CLNK/IRF1/XCL1/CCL21/ZNF683/FCGR3A/CCL19/HFE/SYVN1/GNRH1/EGR3/FLT3/FGF10/TNFSF13B/IL6/CTSG/GPR18/PSMB10/MPL/GAPT/CFB,128
GO:0002682,regulation of immune system process,190/911,348/2843,0.545977011494253,1.70385581084321,9.62289421540325,1.10654057005366e-20,5.94433594232828e-18,4.84781247638247e-18,DOCK8/CCR2/STAT2/INPP5D/BCL6/LAX1/LCP2/HLA-E/STING1/KLHL6/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/TNFSF8/FYB1/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/NAIP/SLAMF6/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/TRIM56/SMPDL3A/HLA-DQB1/LYVE1/LAIR1/LGMN/DLL1/CXCL12/IKZF3/SAMHD1/PDCD1/CDKN1A/TRAT1/TBX21/CD3G/RIPOR2/TIFAB/PRKCH/PRKCB/C3/SAMSN1/AIM2/RHOH/IL7R/VEGFD/SH2D1A/WAS/JAM2/LGALS9/TLR5/HLA-DQB2/CD1D/KLRK1/BTN2A2/TASL/AIF1/HCK/SELP/CD53/TYK2/GPNMB/BST1/IDO1/CASP1/BANK1/SIRPA/TLR9/TNFSF14/GFI1/TMEM178A/SLA2/CCL3/SLC15A3/THEMIS/PLCG2/CYP26B1/TWIST1/NR1H3/CD244/C5AR1/CCR7/TESPA1/MR1/SOCS1/DCSTAMP/ZFP36/ZNF335/CD2/TMEM176B/GBP5/CEBPA/STAP1/CD8B/CD5/P2RY12/HAVCR2/GPR65/CD300LF/PTN/A2M/CD37/KLRD1/PIGR/CD8A/CCDC88B/NFKBID/FCER1A/CLDN18/C1QB/C4BPA/IL12B/BATF/MS4A1/CLEC7A/CD160/CD14/PRKD2/FCER1G/CD1C/TIGIT/IL4I1/IL23R/CTLA4/NLRP4/TYROBP/ZBTB32/DUSP1/APOD/SKAP1/LILRA5/MASP1/BTLA/CLC/ZNF580/TLR3/CLNK/IRF1/KIR2DS4/TNFAIP6/XCL1/CXCR3/CFI/CCL21/HCAR2/ZNF683/PARP14/FCGR3A/CCL19/CD101/HFE/CCL7/SYVN1/GNRH1/BTNL8/CNR2/EGR3/GRN/FGF10/TNFSF13B/SH2D1B/HLA-C/IL6/CD300LB/CTSG/GPR18/ZNFX1/KIR2DL1/FCN3/SPPL2B/MPL/CFB,190
GO:0050776,regulation of immune response,133/911,217/2843,0.612903225806452,1.91271555539818,9.60474021095287,2.64884726346932e-20,1.18580062494643e-17,9.67061606189411e-18,CCR2/STAT2/INPP5D/BCL6/LAX1/LCP2/HLA-E/STING1/KLHL6/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/FYB1/NFAM1/CD4/NAIP/SLAMF6/BLNK/FCGR2B/IL21/NCKAP1L/PTPRC/TRIM56/SMPDL3A/HLA-DQB1/LAIR1/SAMHD1/PDCD1/TRAT1/TBX21/CD3G/TIFAB/PRKCH/PRKCB/C3/SAMSN1/AIM2/IL7R/SH2D1A/WAS/LGALS9/TLR5/HLA-DQB2/CD1D/KLRK1/BTN2A2/TASL/HCK/CD53/TYK2/IDO1/CASP1/BANK1/TLR9/GFI1/SLA2/SLC15A3/THEMIS/PLCG2/NR1H3/C5AR1/CCR7/TESPA1/MR1/GBP5/STAP1/CD8B/HAVCR2/GPR65/CD300LF/A2M/CD37/KLRD1/PIGR/CD8A/NFKBID/FCER1A/C1QB/C4BPA/IL12B/BATF/MS4A1/CLEC7A/CD160/CD14/PRKD2/FCER1G/CD1C/TIGIT/IL4I1/IL23R/CTLA4/NLRP4/TYROBP/SKAP1/LILRA5/MASP1/BTLA/CLC/TLR3/CLNK/IRF1/KIR2DS4/XCL1/CFI/ZNF683/PARP14/FCGR3A/CCL19/HFE/SYVN1/BTNL8/GRN/TNFSF13B/SH2D1B/HLA-C/IL6/CD300LB/CTSG/ZNFX1/KIR2DL1/FCN3/SPPL2B/CFB,133
GO:0002684,positive regulation of immune system process,146/911,251/2843,0.581673306772908,1.81525489698724,9.28710685691298,3.40447699395602e-19,1.30634645796655e-16,1.06537092096579e-16,DOCK8/CCR2/INPP5D/BCL6/LAX1/LCP2/HLA-E/STING1/KLHL6/TNFRSF14/CD28/SYK/VSIR/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/FYB1/GPR183/NR5A2/NFAM1/CD4/NAIP/SLAMF6/BLNK/FCGR2B/IL21/NCKAP1L/PTPRC/TRIM56/SMPDL3A/HLA-DQB1/LYVE1/LGMN/CXCL12/CDKN1A/TRAT1/TBX21/CD3G/RIPOR2/TIFAB/PRKCH/PRKCB/C3/AIM2/RHOH/IL7R/VEGFD/SH2D1A/JAM2/LGALS9/TLR5/HLA-DQB2/CD1D/KLRK1/BTN2A2/TASL/AIF1/HCK/SELP/CD53/TYK2/BST1/IDO1/CASP1/BANK1/SIRPA/TLR9/TNFSF14/GFI1/SLA2/CCL3/SLC15A3/THEMIS/PLCG2/NR1H3/CD244/C5AR1/CCR7/TESPA1/MR1/SOCS1/DCSTAMP/ZNF335/CD2/GBP5/CEBPA/STAP1/CD8B/CD5/P2RY12/HAVCR2/GPR65/CD300LF/PTN/A2M/CD37/KLRD1/CD8A/CCDC88B/NFKBID/C1QB/C4BPA/IL12B/MS4A1/CLEC7A/CD160/CD14/PRKD2/FCER1G/CD1C/IL4I1/IL23R/CTLA4/TYROBP/SKAP1/MASP1/ZNF580/TLR3/CLNK/IRF1/XCL1/CFI/CCL21/HCAR2/ZNF683/FCGR3A/CCL19/CD101/CCL7/BTNL8/EGR3/FGF10/TNFSF13B/SH2D1B/HLA-C/IL6/CD300LB/CTSG/ZNFX1/FCN3/MPL/CFB,146
GO:0042110,T cell activation,96/911,143/2843,0.671328671328671,2.09504655607839,9.22542504346226,1.05314485386253e-18,3.53593384684343e-16,2.88367689590515e-16,DOCK8/CCR2/PIK3CG/JAML/BCL6/STAT4/LAX1/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/ITK/TNFSF8/GPR183/NR5A2/MAFB/CD4/SLAMF6/LY9/DTX1/FCGR2B/IL21/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/IKZF3/PDCD1/TBX21/CD3G/RIPOR2/KMT2A/WDFY4/RHOH/IL7R/SEMA6D/WAS/LGALS9/HLA-DQB2/CD1D/KLRK1/EGR1/BTN2A2/AIF1/TYK2/GPNMB/IDO1/SIRPA/TNFSF14/SLA2/THEMIS/CYP26B1/CCR7/TESPA1/MR1/SOCS1/CD2/CD8B/CD5/HAVCR2/GPR65/CD37/CD8A/CCDC88B/NFKBID/IL12B/BATF/CLEC7A/CD160/FCER1G/CD1C/TIGIT/IL4I1/IL23R/CTLA4/TYROBP/TREML2/BTLA/CLC/IRF1/XCL1/CCL21/ZNF683/CCL19/HFE/GNRH1/EGR3/TNFSF13B/IL6/CTSG/GPR18/PSMB10,96
GO:0050865,regulation of cell activation,104/911,160/2843,0.65,2.02848518111965,9.19422987451685,1.25276936175187e-18,3.73882056185058e-16,3.0491380605914e-16,DOCK8/CCR2/INPP5D/BCL6/LAX1/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/EMILIN2/IRF4/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/NFAM1/SYT11/CD4/DTX1/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/HLA-DQB1/IKZF3/PDCD1/CDKN1A/TBX21/RIPOR2/CAPN3/SAMSN1/RHOH/IL7R/LGALS9/HLA-DQB2/CD1D/KLRK1/BTN2A2/AIF1/SELP/TYK2/GPNMB/BST1/IDO1/BANK1/SIRPA/TLR9/TNFSF14/MMRN1/CCL3/CYP26B1/NR1H3/GP1BA/CCR7/TESPA1/SOCS1/ZNF335/CD2/CEBPA/STAP1/CD5/HAVCR2/GPR65/CD300LF/CD37/KLRD1/CCDC88B/NFKBID/IL12B/BATF/CLEC7A/CD160/FCER1G/TIGIT/IL4I1/IL23R/CTLA4/TYROBP/LILRA5/BTLA/CLC/CLNK/IRF1/XCL1/CCL21/ZNF683/FCGR3A/CCL19/HFE/GNRH1/CNR2/EGR3/ACTA2/GRN/FGF10/TNFSF13B/IL6/GJD4/CTSG/MPL,104
GO:0009605,response to external stimulus,228/911,457/2843,0.49890590809628,1.55695883284053,8.92305644941287,2.93395005233037e-18,7.86992019065684e-16,6.41819332866594e-16,CCR2/LYZ/STAT2/PIK3CG/TRIM22/INPP5D/JAML/BCL6/MPEG1/JCHAIN/KMO/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/CD28/SYK/IL18BP/TNFRSF1B/EMILIN2/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/HCFC2/TLR8/TNFSF8/GPR183/GSDMB/BTG2/NR5A2/RGS1/APOBEC3G/SYT11/CD4/NAIP/SLAMF6/LY9/FCGR2B/IL21/MAP3K14/NCKAP1L/DOCK2/PTPRC/PTAFR/GNGT2/TRIM56/SMPDL3A/CH25H/AKNA/LGMN/CXCL12/IKZF3/SAMHD1/PTGIS/TBX21/CARD16/SHFL/RIPOR2/TIFAB/TRIM38/C3/CAPN3/TEK/FOSB/WDFY4/AIM2/UBA7/IL7R/SEMA6D/VEGFD/FGF7/SH2D1A/WAS/LGALS9/APOBEC3H/TLR5/CD1D/KLRK1/SUCNR1/SSC5D/TASL/AIF1/HCK/SELP/TYK2/GPNMB/ALPL/BST1/IDO1/CASP1/BANK1/SCN11A/SIRPA/TLR9/TNFSF14/GFI1/GRIN3A/TMEM255A/MMRN1/CCL3/SLC15A3/PLCG2/NR1H3/CD244/C5AR1/GP1BA/RNASE6/CCR7/MR1/PENK/PML/ZFP36/RAB2B/CD2/GBP5/CEBPA/POSTN/STAP1/PIK3C2G/P2RY12/HAVCR2/CD300LF/CCL3L3/PTN/A2M/CD37/KLRD1/GDF5/CCDC88B/CRISP3/C1QB/C4BPA/IL12B/BATF/MS4A1/DDX60L/CLEC7A/SLC9A1/RGMA/CD160/MPO/CD14/CUBN/PRKD2/FCER1G/LPL/GCH1/TIGIT/APOBEC3F/IL23R/NLRP4/TYROBP/SEMA5B/DUSP1/LILRA5/XCL2/MASP1/RFPL1/ZNF580/PDC/TLR3/WHRN/LY86/CLNK/IRF1/MARCO/LGALS4/GRIN2D/GNLY/TNFAIP6/HPSE/XCL1/MDGA1/CXCR3/PLAC8/CFI/CASP7/CCL21/ATG14/CXCL9/ZNF683/PARP14/BATF3/FFAR4/NEO1/FCGR3A/SCN7A/IFI44L/CCL19/HMGCS2/CCL7/TRIML2/ZSWIM8/RFPL4B/GNRH1/TF/APOB/CNR2/EGR3/LTB4R2/TTN/ACTA2/TRIM4/GRN/FGF10/SH2D1B/USF1/HYAL1/HLA-C/DAO/ALK/HPGDS/IL6/RNASE2/GJD4/CTSG/GPR18/ZNFX1/FCN3/PKD1L3/SLC24A4/DRD1/CFB/EPPIN,228
GO:0002250,adaptive immune response,82/911,116/2843,0.706896551724138,2.20604489193384,9.10578859963415,3.22297550622581e-18,7.86992019065684e-16,6.41819332866594e-16,CCR2/PIK3CG/INPP5D/BCL6/MPEG1/STAT4/LAX1/JCHAIN/HLA-E/KLHL6/TNFRSF14/CD28/SYK/IL18BP/TNFRSF1B/IRF4/SLAMF1/TLR8/ITK/GPR183/CD4/SLAMF6/LY9/FCGR2B/NCKAP1L/PTPRC/HLA-DQB1/LAIR1/PDCD1/TRAT1/TBX21/CD3G/PRKCB/C3/SAMSN1/IL7R/SH2D1A/WAS/LGALS9/HLA-DQB2/CD1D/KLRK1/TYK2/SLA2/THEMIS/CD244/MR1/CD8B/HAVCR2/LAMP3/KLRD1/CD8A/NFKBID/FCER1A/C1QB/C4BPA/IL12B/BATF/CLEC7A/CD160/PRKD2/FCER1G/CD1C/IL4I1/IL23R/CTLA4/SKAP1/BTLA/CLC/IRF1/XCL1/CFI/ZNF683/FCGR3A/CCL19/HFE/SYVN1/BTNL8/TNFSF13B/SH2D1B/HLA-C/IL6,82
GO:0006952,defense response,189/911,363/2843,0.520661157024794,1.62485144832216,8.75128680463741,1.72953603542458e-17,3.87127815929201e-15,3.15716183308644e-15,CCR2/LYZ/APOL3/STAT2/APOL2/PIK3CG/TRIM22/INPP5D/BCL6/MPEG1/STAT4/JCHAIN/MRC1/HLA-E/STING1/TNFRSF14/CD28/SYK/TNFRSF1B/EMILIN2/ITIH4/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/P2RX1/HCFC2/TLR8/ITK/TNFSF8/GSDMB/NR5A2/APOBEC3G/NFAM1/SYT11/CD4/NAIP/SLAMF6/LY9/SP140/BLNK/FCGR2B/IL21/MAP3K14/PTPRC/PTAFR/TRIM56/SMPDL3A/CH25H/AKNA/CXCL12/PLA2G4C/SAMHD1/PTGIS/TRAT1/SHFL/TIFAB/TRIM38/C3/TEK/AIM2/UBA7/IL7R/SH2D1A/WAS/LGALS9/APOBEC3H/TLR5/CD1D/KLRK1/SUCNR1/SSC5D/TASL/AIF1/HCK/SELP/TYK2/BST1/IDO1/CASP1/SCN11A/SIRPA/TLR9/GFI1/FOLR2/CCL3/SLC15A3/PLCG2/CYP26B1/NR1H3/CD244/C5AR1/RNASE6/CCR7/MR1/PENK/DLEC1/CD48/PML/ZFP36/RAB2B/CD2/GBP5/CEBPA/STAP1/HAVCR2/P2RY11/CD300LF/CCL3L3/PTN/A2M/CD37/KLRD1/CCDC88B/CRISP3/NFKBID/FCER1A/C1QB/C4BPA/IL12B/BATF/DDX60L/CLEC7A/CD160/MPO/CD14/FCER1G/LPL/GCH1/TIGIT/APOBEC3F/IL23R/NLRP4/TYROBP/APOD/LILRA5/XCL2/MASP1/RFPL1/ZNF580/TLR3/LY86/CLNK/IRF1/MARCO/LGALS4/CRHBP/GNLY/TNFAIP6/LTB4R/XCL1/CXCR3/PLAC8/CFI/CASP7/CCL21/ATG14/CXCL9/ZNF683/PARP14/FFAR4/FCGR3A/IFI44L/CCL19/CCL7/F8/TRIML2/ZSWIM8/RFPL4B/TF/CNR2/TRIM4/CHRNA7/GRN/SH2D1B/HYAL1/HLA-C/DAO/IL6/RNASE2/IL1R2/CTSG/ZNFX1/FCN3/AGTR2/DRD1/CFB/EPPIN,189
GO:0043207,response to external biotic stimulus,170/911,318/2843,0.534591194968554,1.66832356453962,8.6823503654017,3.64500215929216e-17,6.9931969998991e-15,5.70319510788495e-15,LYZ/STAT2/PIK3CG/TRIM22/INPP5D/MPEG1/JCHAIN/KMO/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/SYK/IL18BP/TNFRSF1B/EMILIN2/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/HCFC2/TLR8/TNFSF8/GSDMB/RGS1/APOBEC3G/SYT11/CD4/NAIP/SLAMF6/LY9/FCGR2B/IL21/MAP3K14/PTPRC/PTAFR/TRIM56/SMPDL3A/CH25H/CXCL12/IKZF3/SAMHD1/TBX21/CARD16/SHFL/TIFAB/TRIM38/C3/WDFY4/AIM2/UBA7/IL7R/VEGFD/SH2D1A/WAS/LGALS9/APOBEC3H/TLR5/CD1D/KLRK1/SSC5D/TASL/AIF1/HCK/SELP/TYK2/ALPL/IDO1/CASP1/BANK1/SIRPA/TLR9/GFI1/TMEM255A/CCL3/SLC15A3/PLCG2/NR1H3/CD244/C5AR1/RNASE6/CCR7/MR1/PENK/PML/ZFP36/RAB2B/CD2/GBP5/STAP1/HAVCR2/CD300LF/CCL3L3/A2M/CD37/KLRD1/CCDC88B/CRISP3/C1QB/C4BPA/IL12B/BATF/MS4A1/DDX60L/CLEC7A/CD160/MPO/CD14/CUBN/FCER1G/LPL/GCH1/TIGIT/APOBEC3F/IL23R/NLRP4/TYROBP/LILRA5/XCL2/MASP1/RFPL1/TLR3/LY86/CLNK/IRF1/MARCO/LGALS4/GNLY/XCL1/PLAC8/CFI/CASP7/CCL21/ATG14/CXCL9/ZNF683/PARP14/BATF3/FCGR3A/SCN7A/IFI44L/CCL19/HMGCS2/CCL7/TRIML2/ZSWIM8/RFPL4B/GNRH1/TF/APOB/CNR2/ACTA2/TRIM4/GRN/FGF10/SH2D1B/HYAL1/HLA-C/DAO/HPGDS/IL6/RNASE2/CTSG/ZNFX1/FCN3/CFB/EPPIN,170
GO:0051707,response to other organism,170/911,318/2843,0.534591194968554,1.66832356453962,8.6823503654017,3.64500215929216e-17,6.9931969998991e-15,5.70319510788495e-15,LYZ/STAT2/PIK3CG/TRIM22/INPP5D/MPEG1/JCHAIN/KMO/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/SYK/IL18BP/TNFRSF1B/EMILIN2/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/HCFC2/TLR8/TNFSF8/GSDMB/RGS1/APOBEC3G/SYT11/CD4/NAIP/SLAMF6/LY9/FCGR2B/IL21/MAP3K14/PTPRC/PTAFR/TRIM56/SMPDL3A/CH25H/CXCL12/IKZF3/SAMHD1/TBX21/CARD16/SHFL/TIFAB/TRIM38/C3/WDFY4/AIM2/UBA7/IL7R/VEGFD/SH2D1A/WAS/LGALS9/APOBEC3H/TLR5/CD1D/KLRK1/SSC5D/TASL/AIF1/HCK/SELP/TYK2/ALPL/IDO1/CASP1/BANK1/SIRPA/TLR9/GFI1/TMEM255A/CCL3/SLC15A3/PLCG2/NR1H3/CD244/C5AR1/RNASE6/CCR7/MR1/PENK/PML/ZFP36/RAB2B/CD2/GBP5/STAP1/HAVCR2/CD300LF/CCL3L3/A2M/CD37/KLRD1/CCDC88B/CRISP3/C1QB/C4BPA/IL12B/BATF/MS4A1/DDX60L/CLEC7A/CD160/MPO/CD14/CUBN/FCER1G/LPL/GCH1/TIGIT/APOBEC3F/IL23R/NLRP4/TYROBP/LILRA5/XCL2/MASP1/RFPL1/TLR3/LY86/CLNK/IRF1/MARCO/LGALS4/GNLY/XCL1/PLAC8/CFI/CASP7/CCL21/ATG14/CXCL9/ZNF683/PARP14/BATF3/FCGR3A/SCN7A/IFI44L/CCL19/HMGCS2/CCL7/TRIML2/ZSWIM8/RFPL4B/GNRH1/TF/APOB/CNR2/ACTA2/TRIM4/GRN/FGF10/SH2D1B/HYAL1/HLA-C/DAO/HPGDS/IL6/RNASE2/CTSG/ZNFX1/FCN3/CFB/EPPIN,170
GO:0002694,regulation of leukocyte activation,95/911,146/2843,0.650684931506849,2.03062267867615,8.77815638650128,4.13892445493066e-17,7.41143405729583e-15,6.04428195839347e-15,DOCK8/CCR2/INPP5D/BCL6/LAX1/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/NFAM1/SYT11/CD4/DTX1/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/HLA-DQB1/IKZF3/PDCD1/CDKN1A/TBX21/RIPOR2/SAMSN1/RHOH/IL7R/LGALS9/HLA-DQB2/CD1D/KLRK1/BTN2A2/AIF1/TYK2/GPNMB/BST1/IDO1/BANK1/SIRPA/TLR9/TNFSF14/CCL3/CYP26B1/NR1H3/CCR7/TESPA1/SOCS1/ZNF335/CD2/CEBPA/STAP1/CD5/HAVCR2/GPR65/CD300LF/CD37/KLRD1/CCDC88B/NFKBID/IL12B/BATF/CLEC7A/CD160/TIGIT/IL4I1/IL23R/CTLA4/TYROBP/BTLA/CLC/CLNK/IRF1/XCL1/CCL21/ZNF683/FCGR3A/CCL19/HFE/GNRH1/CNR2/EGR3/GRN/FGF10/TNFSF13B/IL6/CTSG/MPL,95
