ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-168256,Immune System,54/115,363/1788,0.148760330578512,2.31289974847287,7.3441353372675,2.37160957891762e-11,6.45077805465592e-09,6.14122059382878e-09,IQGAP2/CCR2/LYZ/STAT2/PIK3CG/TRIM22/JAML/IRAG2/BCL6/STAT4/LCP2/MRC1/HLA-E/STING1/TNFRSF14/ADA2/CD28/IL18BP/TNFRSF1B/IL10RA/IRF4/SERPING1/P2RX1/TLR8/ITK/TNFSF8/FYB1/NFAM1/CD4/SLAMF6/ELMO1/BLNK/FCGR2B/IL21/MAP3K14/NCKAP1L/ATP8B4/PTPRC/TMT1A/PTAFR/KLHL3/TRIM56/PELI2/HLA-DQB1/DNM1/LAIR1/LGMN/TNFRSF25/SAMHD1/NFASC/ARSA/PDCD1/CDKN1A/TRAT1,54
R-HSA-168249,Innate Immune System,29/115,180/1788,0.161111111111111,2.50492753623188,5.58048628364153,9.65856777435154e-07,0.000131356521731181,0.000125053035394236,IQGAP2/CCR2/LYZ/IRAG2/LCP2/HLA-E/STING1/ADA2/TNFRSF1B/SERPING1/P2RX1/TLR8/ITK/NFAM1/CD4/ELMO1/MAP3K14/NCKAP1L/ATP8B4/PTPRC/TMT1A/PTAFR/TRIM56/PELI2/DNM1/LAIR1/LGMN/NFASC/ARSA,29
R-HSA-1280215,Cytokine Signaling in Immune system,22/115,129/1788,0.170542635658915,2.651567239636,5.10424071854657,1.01483755905345e-05,0.000920119386875126,0.00087596505097245,CCR2/STAT2/TRIM22/BCL6/STAT4/HLA-E/TNFRSF14/IL18BP/TNFRSF1B/IL10RA/IRF4/TNFSF8/CD4/BLNK/IL21/MAP3K14/PTAFR/PELI2/HLA-DQB1/TNFRSF25/SAMHD1/CDKN1A,22
R-HSA-6798695,Neutrophil degranulation,16/115,91/1788,0.175824175824176,2.73368370759675,4.44951698415,0.000132879525025005,0.00889775193431699,0.00847077003034822,IQGAP2/LYZ/IRAG2/STING1/ADA2/TNFRSF1B/P2RX1/NFAM1/NCKAP1L/ATP8B4/PTPRC/TMT1A/PTAFR/LAIR1/NFASC/ARSA,16
R-HSA-1280218,Adaptive Immune System,22/115,155/1788,0.141935483870968,2.20678821879383,4.12066249068895,0.000196216520635913,0.00889775193431699,0.00847077003034822,PIK3CG/JAML/LCP2/MRC1/HLA-E/TNFRSF14/CD28/ITK/FYB1/CD4/SLAMF6/BLNK/FCGR2B/MAP3K14/PTPRC/KLHL3/HLA-DQB1/DNM1/LAIR1/LGMN/PDCD1/TRAT1,22
R-HSA-202433,Generation of second messenger molecules,5/115,10/1788,0.5,7.77391304347826,5.63037038220517,0.000196273939727581,0.00889775193431699,0.00847077003034822,LCP2/ITK/FYB1/CD4/HLA-DQB1,5
R-HSA-202403,TCR signaling,7/115,23/1788,0.304347826086957,4.73194706994329,4.72161165985334,0.000393076909301734,0.0152738456185817,0.0145408901786807,LCP2/ITK/FYB1/CD4/PTPRC/HLA-DQB1/TRAT1,7
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,5/115,12/1788,0.416666666666667,6.47826086956522,4.99085643555417,0.000555434295890427,0.0187348644214967,0.0178358229399697,TNFRSF14/TNFRSF1B/TNFSF8/MAP3K14/TNFRSF25,5
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),12/115,65/1788,0.184615384615385,2.87036789297659,4.02628306377101,0.000619903602181875,0.0187348644214967,0.0178358229399697,CCR2/CYSLTR2/GPR183/PLPPR4/OXER1/P2RY14/PTAFR/HRH2/P2RY13/CXCL12/PNOC/P2RY10,12
R-HSA-449147,Signaling by Interleukins,14/115,86/1788,0.162790697674419,2.53104145601618,3.81434194689747,0.000824840935050576,0.0224356734333757,0.0213590389497307,CCR2/STAT2/BCL6/STAT4/IL18BP/TNFRSF1B/IL10RA/IRF4/CD4/BLNK/IL21/PTAFR/PELI2/CDKN1A,14
R-HSA-500792,GPCR ligand binding,13/115,82/1788,0.158536585365854,2.46489925768823,3.55949508552229,0.00165065031967493,0.040816080631962,0.0388574142239266,CCR2/CYSLTR2/GPR183/PLPPR4/OXER1/P2RY14/PTAFR/GNGT2/HRH2/P2RY13/CXCL12/PNOC/P2RY10,13
R-HSA-418594,G alpha (i) signalling events,10/115,59/1788,0.169491525423729,2.63522476050111,3.34787465607099,0.00350383240473857,0.0794202011740744,0.0756090150496219,CCR2/PDE1B/GPR183/RGS1/OXER1/P2RY14/GNGT2/P2RY13/CXCL12/PNOC,10
R-HSA-909733,Interferon alpha/beta signaling,4/115,12/1788,0.333333333333333,5.18260869565217,3.8104792785739,0.00537322337218725,0.109983119369249,0.104705291659579,STAT2/HLA-E/IRF4/SAMHD1,4
R-HSA-877300,Interferon gamma signaling,5/115,19/1788,0.263157894736842,4.09153318077803,3.55099468300259,0.00566089584988783,0.109983119369249,0.104705291659579,TRIM22/HLA-E/IRF4/PTAFR/HLA-DQB1,5
R-HSA-372790,Signaling by GPCR,16/115,134/1788,0.119402985074627,1.85645684620376,2.70180099838911,0.00959018337343846,0.160138898745145,0.152454214749635,CCR2/PIK3CG/CYSLTR2/PDE1B/GPR183/RGS1/PLPPR4/OXER1/P2RY14/PTAFR/GNGT2/HRH2/P2RY13/CXCL12/PNOC/P2RY10,16
R-HSA-6783783,Interleukin-10 signaling,4/115,14/1788,0.285714285714286,4.44223602484472,3.3891522693616,0.00982707711403517,0.160138898745145,0.152454214749635,CCR2/TNFRSF1B/IL10RA/PTAFR,4
R-HSA-388396,GPCR downstream signalling,15/115,123/1788,0.121951219512195,1.89607635206787,2.69931568927619,0.0100086811715716,0.160138898745145,0.152454214749635,CCR2/PIK3CG/CYSLTR2/PDE1B/GPR183/RGS1/OXER1/P2RY14/PTAFR/GNGT2/HRH2/P2RY13/CXCL12/PNOC/P2RY10,15
R-HSA-913531,Interferon Signaling,7/115,42/1788,0.166666666666667,2.59130434782609,2.73538839980236,0.0155746392928743,0.235350104870101,0.224056214388719,STAT2/TRIM22/HLA-E/IRF4/PTAFR/HLA-DQB1/SAMHD1,7
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,3/115,10/1788,0.3,4.66434782608696,3.0457484968694,0.0222980538285287,0.318662632318307,0.303370772253497,PIK3CG/CD28/TRAT1,3
R-HSA-162909,Host Interactions of HIV factors,4/115,18/1788,0.222222222222222,3.45507246376812,2.74395611058997,0.0246026297010458,0.318662632318307,0.303370772253497,CD28/APOBEC3G/CD4/ELMO1,4
R-HSA-2219528,PI3K/AKT Signaling in Cancer,4/115,18/1788,0.222222222222222,3.45507246376812,2.74395611058997,0.0246026297010458,0.318662632318307,0.303370772253497,PIK3CG/CD28/CDKN1A/TRAT1,4
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,5/115,27/1788,0.185185185185185,2.8792270531401,2.57896047319714,0.026011177254152,0.321592736960424,0.306160268158918,JAML/HLA-E/SLAMF6/FCGR2B/LAIR1,5
R-HSA-389356,Co-stimulation by CD28,3/115,11/1788,0.272727272727273,4.2403162055336,2.82555163039454,0.0292470888841939,0.331467007354197,0.315560695855776,PIK3CG/CD28/MAP3K14,3
R-HSA-6803157,Antimicrobial peptides,3/115,11/1788,0.272727272727273,4.2403162055336,2.82555163039454,0.0292470888841939,0.331467007354197,0.315560695855776,CCR2/LYZ/CD4,3
R-HSA-388841,Regulation of T cell activation by CD28 family,7/115,48/1788,0.145833333333333,2.26739130434783,2.33302795987923,0.0308855732224635,0.336035036660403,0.319909516325307,PIK3CG/TNFRSF14/CD28/CD4/MAP3K14/HLA-DQB1/PDCD1,7
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,4/115,20/1788,0.2,3.1095652173913,2.48673810725211,0.0352756025171599,0.369037072487211,0.35132786312637,STAT2/HLA-E/STING1/TLR8,4
R-HSA-1483206,Glycerophospholipid biosynthesis,3/115,14/1788,0.214285714285714,3.33167701863354,2.29571952709915,0.0560592637645173,0.510506229428652,0.486008252474645,TMEM86B/PLAAT4/PLA2G4C,3
R-HSA-202424,Downstream TCR signaling,3/115,14/1788,0.214285714285714,3.33167701863354,2.29571952709915,0.0560592637645173,0.510506229428652,0.486008252474645,CD4/HLA-DQB1/TRAT1,3
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",3/115,14/1788,0.214285714285714,3.33167701863354,2.29571952709915,0.0560592637645173,0.510506229428652,0.486008252474645,PIK3CG/CD28/TRAT1,3
R-HSA-397014,Muscle contraction,5/115,33/1788,0.151515151515152,2.35573122529644,2.06041752126345,0.0563058341281601,0.510506229428652,0.486008252474645,CLIC2/MYH11/KCNE1/MYH3/CACNA1G,5
R-HSA-199418,Negative regulation of the PI3K/AKT network,3/115,15/1788,0.2,3.1095652173913,2.15053959899842,0.06688760285881,0.586884773470849,0.558721572267139,PIK3CG/CD28/TRAT1,3
R-HSA-9658195,Leishmania infection,4/115,25/1788,0.16,2.48765217391304,1.9633985926791,0.0720198062049663,0.59361779659851,0.565131493665764,CYSLTR2/ELMO1/NCKAP1L/GNGT2,4
R-HSA-9824443,Parasitic Infection Pathways,4/115,25/1788,0.16,2.48765217391304,1.9633985926791,0.0720198062049663,0.59361779659851,0.565131493665764,CYSLTR2/ELMO1/NCKAP1L/GNGT2,4
R-HSA-9700206,Signaling by ALK in cancer,3/115,16/1788,0.1875,2.91521739130435,2.0170164270923,0.0785925821869502,0.610776638710013,0.581466923849316,IL10RA/IRF4/CDKN1A,3
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,3/115,16/1788,0.1875,2.91521739130435,2.0170164270923,0.0785925821869502,0.610776638710013,0.581466923849316,IL10RA/IRF4/CDKN1A,3
R-HSA-2132295,MHC class II antigen presentation,3/115,18/1788,0.166666666666667,2.59130434782609,1.77855006459728,0.104428508073783,0.76769065394781,0.730851009563317,HLA-DQB1/DNM1/LGMN,3
R-HSA-9013423,RAC3 GTPase cycle,3/115,18/1788,0.166666666666667,2.59130434782609,1.77855006459728,0.104428508073783,0.76769065394781,0.730851009563317,ARHGAP15/NCKAP1L/ARHGAP6,3
R-HSA-3299685,Detoxification of Reactive Oxygen Species,2/115,10/1788,0.2,3.1095652173913,1.75343755420151,0.13163773815572,0.87488355603915,0.832899979820553,GPX3/SOD3,2
R-HSA-1483257,Phospholipid metabolism,4/115,31/1788,0.129032258064516,2.00617110799439,1.48125570015653,0.133896491172803,0.87488355603915,0.832899979820553,PIK3CG/TMEM86B/PLAAT4/PLA2G4C,4
R-HSA-418555,G alpha (s) signalling events,4/115,31/1788,0.129032258064516,2.00617110799439,1.48125570015653,0.133896491172803,0.87488355603915,0.832899979820553,CYSLTR2/PDE1B/GNGT2/HRH2,4
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,4/115,31/1788,0.129032258064516,2.00617110799439,1.48125570015653,0.133896491172803,0.87488355603915,0.832899979820553,BCL6/TNFRSF1B/IRF4/CDKN1A,4
R-HSA-9006925,Intracellular signaling by second messengers,5/115,44/1788,0.113636363636364,1.76679841897233,1.34988736593433,0.148292435692771,0.87488355603915,0.832899979820553,PIK3CG/CD28/PDE1B/CDKN1A/TRAT1,5
R-HSA-418346,Platelet homeostasis,3/115,21/1788,0.142857142857143,2.22111801242236,1.47540834670124,0.148401741487416,0.87488355603915,0.832899979820553,P2RX1/PDE1B/GNGT2,3
R-HSA-9734767,Developmental Cell Lineages,3/115,21/1788,0.142857142857143,2.22111801242236,1.47540834670124,0.148401741487416,0.87488355603915,0.832899979820553,MYH11/DLL1/COL24A1,3
R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,2/115,11/1788,0.181818181818182,2.82687747035573,1.59303484211802,0.154391215771615,0.87488355603915,0.832899979820553,ELMO1/NCKAP1L,2
R-HSA-2172127,DAP12 interactions,2/115,11/1788,0.181818181818182,2.82687747035573,1.59303484211802,0.154391215771615,0.87488355603915,0.832899979820553,LCP2/HLA-E,2
R-HSA-419037,NCAM1 interactions,2/115,11/1788,0.181818181818182,2.82687747035573,1.59303484211802,0.154391215771615,0.87488355603915,0.832899979820553,COL6A6/CACNA1G,2
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,2/115,11/1788,0.181818181818182,2.82687747035573,1.59303484211802,0.154391215771615,0.87488355603915,0.832899979820553,BTG2/CDKN1A,2
R-HSA-168898,Toll-like Receptor Cascades,4/115,33/1788,0.121212121212121,1.88458498023715,1.34437737976315,0.158194072197524,0.878138523218908,0.835998748884874,TLR8/PELI2/DNM1/LGMN,4
R-HSA-416476,G alpha (q) signalling events,5/115,46/1788,0.108695652173913,1.68998109640832,1.24266841183815,0.169514508871954,0.900846147603528,0.857616688508003,CYSLTR2/RGS1/PTAFR/GNGT2/P2RY10,5
R-HSA-375165,NCAM signaling for neurite out-growth,2/115,12/1788,0.166666666666667,2.59130434782609,1.44972496461336,0.177828450114965,0.900846147603528,0.857616688508003,COL6A6/CACNA1G,2
R-HSA-8948216,Collagen chain trimerization,2/115,12/1788,0.166666666666667,2.59130434782609,1.44972496461336,0.177828450114965,0.900846147603528,0.857616688508003,COL6A6/COL24A1,2
R-HSA-1296071,Potassium Channels,2/115,13/1788,0.153846153846154,2.39197324414716,1.32028172203824,0.201769556204026,0.900846147603528,0.857616688508003,KCNA3/GNGT2,2
R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA,2/115,13/1788,0.153846153846154,2.39197324414716,1.32028172203824,0.201769556204026,0.900846147603528,0.857616688508003,STING1/TRIM56,2
R-HSA-1980143,Signaling by NOTCH1,2/115,13/1788,0.153846153846154,2.39197324414716,1.32028172203824,0.201769556204026,0.900846147603528,0.857616688508003,DTX1/DLL1,2
R-HSA-380108,Chemokine receptors bind chemokines,2/115,13/1788,0.153846153846154,2.39197324414716,1.32028172203824,0.201769556204026,0.900846147603528,0.857616688508003,CCR2/CXCL12,2
R-HSA-9614085,FOXO-mediated transcription,2/115,13/1788,0.153846153846154,2.39197324414716,1.32028172203824,0.201769556204026,0.900846147603528,0.857616688508003,BCL6/CDKN1A,2
R-HSA-9705683,SARS-CoV-2-host interactions,4/115,37/1788,0.108108108108108,1.68084606345476,1.09690734790963,0.211074696401639,0.900846147603528,0.857616688508003,STAT2/HLA-E/STING1/TLR8,4
