"Method","Cell_Type","cluster","Timepoint","n_values","n_patients","n_missing"
"CIBERSORTx","B cells memory","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","B cells memory","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","B cells memory","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","B cells memory","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","B cells naive","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","B cells naive","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","B cells naive","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","B cells naive","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","Dendritic cells activated","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","Dendritic cells activated","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","Dendritic cells activated","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","Dendritic cells activated","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","Dendritic cells resting","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","Dendritic cells resting","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","Dendritic cells resting","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","Dendritic cells resting","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","Eosinophils","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","Eosinophils","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","Eosinophils","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","Eosinophils","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","Macrophages M0","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","Macrophages M0","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","Macrophages M0","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","Macrophages M0","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","Macrophages M1","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","Macrophages M1","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","Macrophages M1","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","Macrophages M1","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","Macrophages M2","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","Macrophages M2","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","Macrophages M2","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","Macrophages M2","Dys-CIM","Surgery",11,11,0
"CIBERSORTx","Mast cells activated","Fun-CIM","Biopsy",25,25,0
"CIBERSORTx","Mast cells activated","Fun-CIM","Surgery",25,25,0
"CIBERSORTx","Mast cells activated","Dys-CIM","Biopsy",11,11,0
"CIBERSORTx","Mast cells activated","Dys-CIM","Surgery",11,11,0
